09:20:39 | INFO     | main                   | Paper Keyboard starting …
09:20:50 | INFO     | core.typer             | pynput keyboard controller ready
09:20:53 | WARNING  | core.debounce          | Tick generation failed: Array must be 2-dimensional for stereo mixer
09:20:54 | INFO     | core.keyboard_map      | KeyboardMap: 68 keys loaded
09:20:55 | DEBUG    | asyncio                | Using proactor: IocpProactor
09:20:58 | INFO     | networking.server      | WS client connected  (total=1)
09:21:07 | INFO     | networking.server      | WS client connected  (total=2)
09:21:44 | INFO     | utils.diagnostics      | FPS=0.0  latency avg=-1782657936273.0ms  p95=-1782657936273.0ms  max=-1782657936273.0ms
09:21:49 | INFO     | utils.diagnostics      | FPS=9.1  latency avg=-1782657936266.3ms  p95=-1782657936240.0ms  max=-1782657936157.0ms
09:21:54 | INFO     | utils.diagnostics      | FPS=6.8  latency avg=-1782657936178.9ms  p95=-1782657935888.0ms  max=-1782657935788.0ms
09:21:59 | INFO     | utils.diagnostics      | FPS=6.6  latency avg=-1782657936091.8ms  p95=-1782657935725.0ms  max=-1782657935573.0ms
09:22:08 | INFO     | utils.diagnostics      | FPS=4.4  latency avg=-1782657936037.0ms  p95=-1782657935671.0ms  max=-1782657935573.0ms
09:22:13 | INFO     | utils.diagnostics      | FPS=4.7  latency avg=-1782657936049.3ms  p95=-1782657935671.0ms  max=-1782657935573.0ms
09:22:18 | INFO     | utils.diagnostics      | FPS=8.7  latency avg=-1782657936155.6ms  p95=-1782657935716.0ms  max=-1782657935581.0ms
09:22:23 | INFO     | utils.diagnostics      | FPS=6.5  latency avg=-1782657936255.8ms  p95=-1782657936180.0ms  max=-1782657935869.0ms
09:22:28 | INFO     | utils.diagnostics      | FPS=6.6  latency avg=-1782657936268.1ms  p95=-1782657936224.0ms  max=-1782657936191.0ms
09:22:33 | INFO     | utils.diagnostics      | FPS=7.4  latency avg=-1782657936258.9ms  p95=-1782657936154.0ms  max=-1782657936020.0ms
09:22:39 | INFO     | utils.diagnostics      | FPS=5.5  latency avg=-1782657936251.3ms  p95=-1782657936102.0ms  max=-1782657935992.0ms
09:22:44 | INFO     | utils.diagnostics      | FPS=4.7  latency avg=-1782657936232.1ms  p95=-1782657936065.0ms  max=-1782657935737.0ms
09:22:46 | INFO     | networking.server      | WS client disconnected
09:22:46 | INFO     | networking.server      | WS cleanup done  (remaining=1)
09:22:46 | INFO     | networking.server      | WS client disconnected
09:22:46 | INFO     | networking.server      | WS cleanup done  (remaining=0)
09:22:56 | INFO     | main                   | Paper Keyboard starting …
09:23:11 | INFO     | core.typer             | pynput keyboard controller ready
09:23:14 | WARNING  | core.debounce          | Tick generation failed: Array must be 2-dimensional for stereo mixer
09:23:14 | INFO     | core.keyboard_map      | KeyboardMap: 68 keys loaded
09:23:14 | DEBUG    | asyncio                | Using proactor: IocpProactor
09:23:17 | INFO     | networking.server      | WS client connected  (total=1)
09:23:23 | INFO     | networking.server      | WS client connected  (total=2)
09:23:31 | INFO     | utils.diagnostics      | FPS=0.0  latency avg=-1782657936264.0ms  p95=-1782657936264.0ms  max=-1782657936264.0ms
09:23:36 | INFO     | utils.diagnostics      | FPS=7.9  latency avg=-1782657936270.7ms  p95=-1782657936264.0ms  max=-1782657936263.0ms
09:23:41 | INFO     | utils.diagnostics      | FPS=7.7  latency avg=-1782657936266.8ms  p95=-1782657936237.0ms  max=-1782657936099.0ms
09:23:46 | INFO     | utils.diagnostics      | FPS=6.7  latency avg=-1782657936266.4ms  p95=-1782657936234.0ms  max=-1782657936099.0ms
09:23:51 | INFO     | utils.diagnostics      | FPS=5.6  latency avg=-1782657936261.6ms  p95=-1782657936202.0ms  max=-1782657936005.0ms
09:23:56 | INFO     | utils.diagnostics      | FPS=5.4  latency avg=-1782657936259.9ms  p95=-1782657936187.0ms  max=-1782657936005.0ms
09:24:01 | INFO     | utils.diagnostics      | FPS=5.5  latency avg=-1782657936258.1ms  p95=-1782657936163.0ms  max=-1782657936005.0ms
09:24:06 | INFO     | utils.diagnostics      | FPS=4.7  latency avg=-1782657936255.3ms  p95=-1782657936140.0ms  max=-1782657936005.0ms
09:24:12 | INFO     | utils.diagnostics      | FPS=4.6  latency avg=-1782657936254.8ms  p95=-1782657936128.0ms  max=-1782657936005.0ms
09:24:17 | INFO     | utils.diagnostics      | FPS=5.6  latency avg=-1782657936256.9ms  p95=-1782657936128.0ms  max=-1782657936030.0ms
09:24:22 | INFO     | utils.diagnostics      | FPS=6.0  latency avg=-1782657936254.1ms  p95=-1782657936112.0ms  max=-1782657936012.0ms
09:24:27 | INFO     | utils.diagnostics      | FPS=5.3  latency avg=-1782657936243.6ms  p95=-1782657936051.0ms  max=-1782657935948.0ms
09:24:32 | INFO     | utils.diagnostics      | FPS=5.5  latency avg=-1782657936238.9ms  p95=-1782657936051.0ms  max=-1782657935948.0ms
09:24:37 | INFO     | utils.diagnostics      | FPS=6.5  latency avg=-1782657936240.3ms  p95=-1782657936060.0ms  max=-1782657935948.0ms
09:24:42 | INFO     | utils.diagnostics      | FPS=7.1  latency avg=-1782657936244.9ms  p95=-1782657936090.0ms  max=-1782657935948.0ms
09:24:47 | INFO     | utils.diagnostics      | FPS=7.3  latency avg=-1782657936256.3ms  p95=-1782657936184.0ms  max=-1782657936032.0ms
09:24:52 | INFO     | utils.diagnostics      | FPS=8.7  latency avg=-1782657936266.1ms  p95=-1782657936211.0ms  max=-1782657936186.0ms
