21:16:23 | INFO     | main                   | Paper Keyboard starting …
21:16:30 | INFO     | core.typer             | pynput keyboard controller ready
21:16:34 | WARNING  | core.debounce          | Tick generation failed: Array must be 2-dimensional for stereo mixer
21:16:34 | INFO     | core.keyboard_map      | KeyboardMap: 68 keys loaded
21:16:34 | DEBUG    | asyncio                | Using proactor: IocpProactor
21:18:08 | INFO     | networking.server      | WS client connected  (total=1)
21:18:10 | INFO     | utils.diagnostics      | FPS=0.0  latency avg=-1782657934808.0ms  p95=-1782657934808.0ms  max=-1782657934808.0ms
21:18:15 | INFO     | utils.diagnostics      | FPS=10.9  latency avg=-1782657934799.1ms  p95=-1782657934764.0ms  max=-1782657934678.0ms
21:18:20 | INFO     | utils.diagnostics      | FPS=10.5  latency avg=-1782657934801.3ms  p95=-1782657934772.0ms  max=-1782657934678.0ms
21:18:25 | INFO     | utils.diagnostics      | FPS=9.9  latency avg=-1782657934802.4ms  p95=-1782657934776.0ms  max=-1782657934753.0ms
21:18:30 | INFO     | utils.diagnostics      | FPS=10.8  latency avg=-1782657934802.3ms  p95=-1782657934770.0ms  max=-1782657934744.0ms
21:18:35 | INFO     | utils.diagnostics      | FPS=10.4  latency avg=-1782657934802.9ms  p95=-1782657934772.0ms  max=-1782657934744.0ms
21:18:40 | INFO     | utils.diagnostics      | FPS=10.3  latency avg=-1782657934803.8ms  p95=-1782657934777.0ms  max=-1782657934756.0ms
21:18:45 | INFO     | utils.diagnostics      | FPS=8.7  latency avg=-1782657934802.9ms  p95=-1782657934774.0ms  max=-1782657934756.0ms
21:18:50 | INFO     | utils.diagnostics      | FPS=8.8  latency avg=-1782657934801.6ms  p95=-1782657934765.0ms  max=-1782657934705.0ms
21:18:55 | INFO     | utils.diagnostics      | FPS=8.6  latency avg=-1782657934796.5ms  p95=-1782657934746.0ms  max=-1782657934558.0ms
21:19:02 | INFO     | utils.diagnostics      | FPS=5.6  latency avg=-1782657934797.0ms  p95=-1782657934746.0ms  max=-1782657934558.0ms
21:19:07 | INFO     | utils.diagnostics      | FPS=7.0  latency avg=-1782657934802.1ms  p95=-1782657934770.0ms  max=-1782657934737.0ms
21:19:12 | INFO     | utils.diagnostics      | FPS=10.0  latency avg=-1782657934804.7ms  p95=-1782657934777.0ms  max=-1782657934743.0ms
21:19:17 | INFO     | utils.diagnostics      | FPS=10.2  latency avg=-1782657934805.9ms  p95=-1782657934783.0ms  max=-1782657934768.0ms
21:19:22 | INFO     | utils.diagnostics      | FPS=10.6  latency avg=-1782657934806.0ms  p95=-1782657934786.0ms  max=-1782657934768.0ms
21:19:27 | INFO     | utils.diagnostics      | FPS=10.1  latency avg=-1782657934805.3ms  p95=-1782657934781.0ms  max=-1782657934737.0ms
21:19:32 | INFO     | utils.diagnostics      | FPS=10.2  latency avg=-1782657934800.7ms  p95=-1782657934768.0ms  max=-1782657934667.0ms
21:19:37 | INFO     | utils.diagnostics      | FPS=10.5  latency avg=-1782657934800.3ms  p95=-1782657934760.0ms  max=-1782657934667.0ms
21:19:42 | INFO     | utils.diagnostics      | FPS=11.2  latency avg=-1782657934803.8ms  p95=-1782657934780.0ms  max=-1782657934696.0ms
21:19:47 | INFO     | utils.diagnostics      | FPS=10.7  latency avg=-1782657934805.3ms  p95=-1782657934784.0ms  max=-1782657934747.0ms
21:19:54 | INFO     | utils.diagnostics      | FPS=6.9  latency avg=-1782657934805.1ms  p95=-1782657934776.0ms  max=-1782657934747.0ms
21:19:59 | INFO     | utils.diagnostics      | FPS=6.8  latency avg=-1782657934803.4ms  p95=-1782657934776.0ms  max=-1782657934678.0ms
21:20:04 | INFO     | utils.diagnostics      | FPS=10.4  latency avg=-1782657934795.8ms  p95=-1782657934719.0ms  max=-1782657934552.0ms
21:20:09 | INFO     | utils.diagnostics      | FPS=10.9  latency avg=-1782657934799.1ms  p95=-1782657934738.0ms  max=-1782657934552.0ms
21:20:10 | INFO     | networking.server      | WS client disconnected
21:20:10 | INFO     | networking.server      | WS cleanup done  (remaining=0)
21:20:11 | INFO     | networking.server      | WS client connected  (total=1)
21:20:14 | INFO     | utils.diagnostics      | FPS=7.5  latency avg=-1782657934798.2ms  p95=-1782657934738.0ms  max=-1782657934552.0ms
